Arc Length,Radius of Curvature,Direction
1.2889423894493932,24.896520102113225,left
1.2377880843642577,23.546561556814428,left
1.1922179650072187,22.55539790471615,left
1.1519852344279413,21.903005023793476,left
1.1167839318434496,21.57776013691621,left
1.086252495476108,21.57761960719193,left
1.0599809810400163,21.91206609502303,left
1.037521489019002,22.605341790406353,left
1.018400936132495,23.701887357312863,left
1.0021350529079585,25.275705198720686,left
0.9882424495210976,27.447054028429044,left
0.9762577523119917,30.41372183163269,left
0.96574310955784,34.51366873491781,left
0.9562977122928701,40.36235183484407,left
0.9475652983728519,49.19333581085752,left
0.939239856963587,63.866801562188144,left
0.9310699080972032,92.81325513131571,left
0.9228618030403731,176.26135791198143,left
0.9144824930730169,2955.984085311122,left
0.9058621657587506,190.28450802403623,right
0.8969970627557615,89.81147452599224,right
0.8879526772364656,57.72882901053235,right
0.878867378783103,41.964107775948534,right
0.8699563188042735,32.63237533563242,right
0.8615152167844637,26.51351893959665,right
0.8539233091490334,22.249208094927557,right
0.847644369926762,19.170389861623942,right
0.8432243379586614,16.912111716846542,right
0.8412838248154495,15.26120416786457,right
0.8425038196463829,14.08789177906967,right
0.8476034812665707,13.312199923761833,right
0.8572461982342875,14.391489571371485,right
0.8702320610013733,17.883657710548096,right
0.8839360992300506,23.012180207450196,right
0.8970127966094216,31.130561292083115,right
0.9084809289155861,45.93255861664743,right
0.9176271810685385,82.19461558733937,right
0.9239753840551885,328.98792389716465,right
0.9272622824700582,169.8981945982704,left
0.9274222337650457,67.19639517820754,left
0.9245815690977406,41.316225231485646,left
0.919062505715899,29.345924613198303,left
0.9113958923586964,22.387648613059554,left
0.9023411717036443,17.84406828238426,left
0.8929102580361787,14.687298476433252,left
0.8843891111673056,12.43380759798664,left
0.8784165753419483,13.787887439602757,left
0.8759237094259106,16.09655448231994,left
0.875736870745689,19.444533203387582,left
0.8765274961516655,24.520123107373568,left
0.8771950472400734,32.96780554301794,left
0.8768728177219174,49.836218573412545,left
0.8749226875515241,101.430377022736,left
0.8709267934929125,2057.396336004814,left
0.8646816684702162,89.16165822168928,right
0.8561983959526446,44.24963272015272,right
0.8457108116919577,28.654494452395603,right
0.8336924742974291,20.69529493375687,right
0.8208814843665221,15.889720290326263,right
0.8083095518627957,12.730691557162173,right
0.7973272662940457,10.574756051402243,right
0.7897084744065549,10.760026493565585,right
0.7872420093579879,11.779171765672265,right
0.7895208738423284,13.23862790688983,right
0.7955172660957092,15.251442026994138,right
0.8042653802953152,18.00460629855702,right
0.8148995622607517,21.819313656054693,right
0.8266738172615697,27.28609521439075,right
0.8389682123706953,35.60834829040844,right
0.8512866626820217,49.65452233805181,right
0.8632500316551118,78.31177823833848,right
0.8745874311284153,169.4605773849222,right
0.8851275703654529,1823.6209309930323,right
0.8947911794482911,150.1789160835372,left
0.9035849484459378,80.00272906756994,left
0.9115970321529587,55.17419728151721,left
0.9189939054942755,42.433876270258175,left
0.9260181605605929,34.68291357613926,left
0.9329866745631246,29.495162199427305,left
0.9400242377670173,28.522605693941085,left
0.9454984400546751,28.086844216207293,left
0.9486343020168732,27.380722358737604,left
0.9495156356077039,26.441874621755638,left
0.9482528210992303,25.31233260498282,left
0.9449810265238141,24.03628162542444,left
0.9398633428263526,22.65807312206596,left
0.9330946178791168,21.220569494873793,left
0.9249059850812918,19.763855674473064,left
0.9155700351176055,18.32431910171601,left
0.905406492869728,16.934077798315908,left
0.8947881205104177,15.620723924789287,left
0.8841463575096428,14.407345688109691,left
0.8739759206881368,13.312791234530312,left
0.8648372351796112,12.352141681492936,left
0.8573552044603504,11.537364230702863,left
0.8522125744721342,10.878118127648115,left
0.8501362006203064,10.382684351724018,left
0.8517361393915694,12.89339346161673,left
0.8545328569295436,21.51328101281623,left
0.8535705637186343,60.884257131710086,left
0.846144108182726,69.28685342100256,left
0.8313310873631108,20.558685036777735,right
0.809972167170473,11.248650781320755,right
0.784902653360616,7.313146798763943,right
0.7613862204570901,5.280384292148612,right
0.747512685259857,4.251710230285084,right
0.7538865149936209,3.9264666341770766,right
0.7916792554757676,4.2411384437287705,right
0.8692588111986564,5.289944490319966,right
0.9875792333592022,8.791996420627415,right
1.1140983478985826,15.846077223758597,right
1.2172137424717238,28.669977901726597,right
1.2882806579166592,59.32085943186083,right
1.3233307812493926,341.40398575886275,right
1.320633819961761,92.61730190867803,left
1.279907831139719,35.41389980865711,left
1.2022483145640745,17.940768208550637,left
1.090755069687689,9.352851901267867,left
0.9524964351411637,4.902976897473207,left
0.8145208761237623,3.5909163268035207,left
0.7204431581954803,3.125049322464033,left
0.6742983752087286,3.3479336508142348,left
0.6668454358034186,4.3309103726358575,left
0.6839330783279752,6.529881185327558,left
0.7120600047854144,11.696881623693683,left
0.7416049476833181,32.50504688341561,left
0.7671399265144601,67.79082706153334,left
0.7866984245728208,18.10399606468522,right
0.8011439168097345,10.73639979343097,right
0.8138336572262885,10.249901575930261,right
0.8280333837747386,11.444164850179154,right
0.8432472293595321,12.7799443785278,right
0.8584743944976269,14.224180470897112,right
0.8728815451793934,15.734678351401362,right
0.8857815690003814,17.26001730752614,right
0.8966134709957873,18.740314062824783,right
0.9049226933706287,20.108976074187655,right
0.9103435875617514,21.295549989908835,right
0.9128332173106464,22.454569799878694,right
0.915016905983759,23.88133700948925,right
0.9184961187413363,25.57317455019841,right
0.9230685331948307,27.56075523520151,right
0.9285133389434405,29.883730172305622,right
0.9346234767472448,32.59366002629442,right
0.941206947350779,35.75831720563943,right
0.948087494414708,39.46811679415617,right
0.9551047873301592,43.845962593000394,right
0.9621142264942223,49.062777735893725,right
0.9689864816081556,55.36290644381734,right
0.9756068571377376,63.10752628651899,right
0.9818745614708564,72.85292146848198,right
0.9877019395741683,85.50128418001947,right
0.9930137142171304,102.61673724311002,right
0.9977462685657765,127.16492835518966,right
1.0018469931637275,165.52906286002977,right
1.0052737128228688,234.4103634915368,right
1.0079942033770912,395.770370190177,right
1.009985804272788,1231.7981493573513,right
1.0112351302011597,1123.4414960261593,left
1.011737883102698,386.0322352586932,left
1.011498764608717,232.53879488524572,left
1.0105314880704732,165.81661004984176,left
1.0088588885371017,128.33224818481702,left
1.0065131281594502,104.22013318552726,left
1.003535993318095,87.34591115931651,left
0.9999792780593383,74.83916034464573,left
0.9959052459678188,65.17862529022497,left
0.9913871591327695,57.483779427113504,left
0.9865173721489187,55.289332304634435,left
0.9815039408958598,56.799375973327,left
0.9764570098423687,58.41243670410736,left
0.9713477847266705,60.13412688608886,left
0.9661445759308945,61.971243484087985,left
0.9608169784976996,63.93201644198682,left
0.9553358725695792,66.02642172389318,left
0.9496734170258175,68.2665786286378,left
0.943803037413701,70.66725824729109,left
0.9376994092111834,73.24654031035527,left
0.9313384374104113,76.02667078433169,left
0.9246972333370421,79.03519495585724,left
0.9177540895722416,82.30647448501549,left
0.9104884537745461,85.88374881406618,left
0.9028809021541957,89.82198293528317,left
0.8949131133043247,94.19187503495426,left
0.8865678430609922,99.08561530309846,left
0.8778289010371325,104.62535903600968,left
0.8686811294767082,110.9760344998336,left
0.8591103850694093,118.36531516009136,left
0.8491035244062785,127.1159144212668,left
0.8386483937924253,137.7000924691784,left
0.8277338242196726,150.8365111647199,left
0.8163496323921922,167.67353915433318,left
0.8044908047721934,154.42843812198726,left
0.7927989846235716,88.60077266802024,left
0.782644953120068,61.31263408293434,left
0.7742711989314881,46.620913193070365,left
0.7677870785386018,37.60978064858923,left
0.763333674370075,31.655298991674382,left
0.7610814832685199,27.547859311509605,left
0.7612265047132389,24.6565775111781,left
0.763984685421923,22.62410236961789,left
0.7695848430130172,21.236772355961754,left
0.7782603996854359,20.363002575383653,left
0.7902404729044991,19.921577861645936,left
0.8057410424774375,19.864309207143698,left
0.8249569875248932,20.166108746371428,left
0.847775213852223,24.67202101873495,left
0.8701727437731903,35.05030542462484,left
0.8885868090453299,54.813434634915126,left
0.9023688536696951,109.9841123596597,left
0.9111569169101714,1746.0070016680252,left
0.9147735744691513,128.7604889718761,right
0.9132073636872939,61.151257077232046,right
0.906608829192691,39.037125688001964,right
0.8953003922144066,27.77133093195315,right
0.8798003325882275,20.831350840047072,right
0.8608618599415577,16.107625384874787,right
0.8395279766163595,12.716902907495243,right
0.8172004396026106,10.2263043847261,right
0.7957145483292174,8.399292628741936,right
0.7773980821801688,7.096462327784869,right
0.7650719415965157,6.232939779087173,right
0.7620275574623189,6.821039103806586,right
0.7698603147669644,8.003359221319933,right
0.7859571497087927,9.777959883319253,right
0.8072746517503021,12.3495199453856,right
0.8312257059689125,16.096630147111767,right
0.855748409152095,21.787577266743547,right
0.879278276851788,31.236354663470564,right
