Arc Length,Radius of Curvature,Direction
0.14539416124816634,54.03828797811737,Left
0.1454476414309909,58.50287343768396,Left
0.14549955126393002,63.75776923772249,Left
0.14554966998962365,70.03358473582306,Left
0.14559779511629348,77.66049408528417,Left
0.14564374236164893,87.12845195859518,Left
0.1456873455959971,99.19712396699597,Left
0.14572845678746507,115.11105805339638,Left
0.14576694595127082,137.05995583525032,Left
0.14580270110106214,169.2860961897013,Left
0.1458356282051208,221.22537396724377,Left
0.14586565114532335,318.96033075950965,Left
0.1458927116838794,570.8949420649196,Left
0.1459167694316932,2707.3106710826537,Left
0.14593780182416463,988.2703300216378,Right
0.1459558041022008,418.0007507863824,Right
0.14597078929730306,265.0902632845423,Right
0.14598278822505845,194.0993824398808,Right
0.14599184948028435,153.09986396366966,Right
0.1459980394412365,126.39686500429018,Right
0.1460014422763358,107.62020430345186,Right
0.14600215995686663,93.69494988075905,Right
0.14600031227405288,82.95467730332345,Right
0.14599603686008705,74.41787011164875,Right
0.14598948921252652,67.4688428189787,Right
0.14598084272197917,61.70183784760327,Right
0.14597028870209375,56.83858860776298,Right
0.14595803642060817,52.68190050971086,Right
0.1459443131320846,49.08813651823087,Right
0.14592936410958626,45.95019596348464,Right
0.14591345267607078,43.186596819437575,Right
0.14589686023245493,40.73425209381832,Right
0.14587988628405832,38.54355991790278,Right
0.14586284846131944,36.574986570346155,Right
0.1458460825345644,34.79663837404048,Right
0.14582994242272834,33.18250395483468,Right
0.14581480019172724,31.711160440436274,Right
0.14580104604461672,30.364806760220652,Right
0.14578908829822737,29.128531468632293,Right
0.14577921571378327,29.220585533938394,Right
0.14577101171395535,29.40751185100104,Right
0.14576423466264732,29.597295602751924,Right
0.1457588146919285,29.78994185856164,Right
0.1457546824949773,29.98545592795898,Right
0.14575176928068573,30.18384336398393,Right
0.14575000677979216,30.385109966865652,Right
0.14574932724985587,30.589261788034108,Right
0.14574966348148974,30.79630513447423,Right
0.1457509488019949,31.006246573432225,Right
0.1457531170810095,31.21909293748362,Right
0.14575610273389572,31.434851329973288,Right
0.14575984072565523,31.6535291308377,Right
0.1457642665747425,31.875134002820925,Right
0.1457693163557256,32.09967389809512,Right
0.14577492670224595,32.32715706529774,Right
0.1457810348095381,32.55759205699792,Right
0.14578757843677578,32.79098773760454,Right
0.14579449590838653,33.027353291729845,Right
0.14580172611628486,33.26669823302252,Right
0.14580920852091808,33.50903241348453,Right
0.14581688315188404,33.754366033287674,Right
0.14582469060965533,34.00270965110523,Right
0.14583257206513583,34.25407419497575,Right
0.14584046926036856,34.50847097371653,Right
0.14584832450869095,34.76591168890452,Right
0.14585608069417566,35.02640844744455,Right
0.14586368127131988,35.28997377474435,Right
0.14587107026480348,35.55662062851733,Right
0.14587819226794527,35.82636241323544,Right
0.1458849924421172,36.099212995254796,Right
0.1458914165153201,36.37518671863813,Right
0.1458974107809318,36.65429842169966,Right
0.14590292209603897,36.936563454298444,Right
0.14590789787926556,37.221997695908456,Right
0.14591228610945556,37.51061757449401,Right
0.14591603532346442,37.80244008622178,Right
0.1459190946133439,38.097482816040895,Right
0.14592141362429437,38.39576395916528,Right
0.1459229593969628,38.345225407409636,Right
0.1459238326593969,38.201005348756915,Right
0.14592410965098102,38.05670736416972,Right
0.14592381483855688,37.91235923792028,Right
0.1459229726063656,37.76798853550272,Right
0.14592160757439016,37.623622601973075,Right
0.145919744600912,37.47928856040931,Right
0.14591740878322135,37.33501331048883,Right
0.1459146254576145,37.19082352718309,Right
0.14591142020106562,37.046745659566696,Right
0.14590781883200826,36.902805929740786,Right
0.14590384741029336,36.75903033186791,Right
0.14589953223852767,36.61544463131814,Right
0.14589489986303025,36.472074363924115,Right
0.14588997707362325,36.32894483534399,Right
0.14588479090490475,36.18608112053058,Right
0.14587936863658013,36.043508063305566,Right
0.14587373779374152,35.901250276036826,Right
0.14586792614784658,35.759332139418234,Right
0.14586196171679316,35.617777802349394,Right
0.1458558727651231,35.476611181915054,Right
0.14584968780490165,35.33585596346179,Right
0.14584343559530852,35.195535600771294,Right
0.14583714514358967,35.05567331632844,Right
0.14583084570441449,34.91629210168268,Right
0.14582456678049388,34.77741471790183,Right
0.14581833812284578,34.6390636961163,Right
0.14581218972981153,34.50126133815298,Right
0.1458061518481077,34.3640297172567,Right
0.14580025497205934,34.22739067889888,Right
0.14579452984338365,34.09136584167096,Right
0.14578900745097703,33.955976598262176,Right
0.14578371903094425,33.82124411651986,Right
0.14577869606534521,33.68718934059105,Right
0.14577397028276362,33.55383299214429,Right
0.14576957365661444,33.42119557167004,Right
0.1457655384056723,33.289297359858786,Right
